indiv,freq_x,plate,cage,treatment,sex
2428__Chrom_31_3_B11,0.23361363,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_B12,0.160891834,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_B2,0.162179942,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_B3,0.218900172,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_B4,0.219653179,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_B5,0.142718834,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_B6,0.13472502,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_B7,0.229774842,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_B8,0.146863618,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_B9,0.138605244,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_C1,0.1307547,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_C10,0.233475853,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_C11,0.222063157,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_C12,0.137709143,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_C2,0.22465659,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_C3,0.1552944,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_C4,0.212399844,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_C5,0.146612234,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_C6,0.135134591,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_C7,0.224263505,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_C8,0.142308451,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_C9,0.228695609,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_D1,0.117484506,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_D10,0.218907314,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_D11,0.226570726,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_D12,0.2240172,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_D2,0.125054246,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_D3,0.126378343,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_D4,0.216494304,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_D5,0.130919267,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_D6,0.219269988,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_D7,0.133179591,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_D8,0.220988333,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_D9,0.145450624,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_E1,0.129409741,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_E10,0.220963817,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_E11,0.132414213,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_E12,0.135600636,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_E2,0.222442683,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_E3,0.217350191,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_E4,0.191868624,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_E5,0.155567429,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_E6,0.221116782,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_E7,0.145190652,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_E8,0.229903723,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_E9,0.142737171,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_F1,0.221214914,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_F10,0.118964417,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_F11,0.219675103,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_F12,0.19562806,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_F2,0.146089248,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_F3,0.126248755,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_F4,0.126295484,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_F5,0.126386415,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_F6,0.124415857,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_F7,0.120423421,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_F8,0.225767351,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_F9,0.143261923,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_G1,0.218276068,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_G10,0.220398781,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_G11,0.219388584,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_G12,0.211978193,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_G2,0.214436418,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_G3,0.215992864,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_G4,0.21816888,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_G5,0.219104968,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_G6,0.138135926,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_G7,0.124380079,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_G8,0.220147002,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_G9,0.161082904,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_H1,0.164916121,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_H10,0.131733961,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_H11,0.219511659,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_H12,0.149973481,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_H2,0.204547043,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_H3,0.204816607,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_H4,0.181603298,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_H5,0.145359489,Chrom_31_3,T0,T0,male
2428__Chrom_31_3_H6,0.177623265,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_H7,0.219678433,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_H8,0.216101338,Chrom_31_3,T0,T0,female
2428__Chrom_31_3_H9,0.157505192,Chrom_31_3,T0,T0,male
2428__Chrom_31_4_A1,0.111849483,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_A10,0.154024218,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_A11,0.2050799,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_A12,0.13769298,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_A2,0.212136025,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_A3,0.191028501,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_A4,0.174700663,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_A5,0.170985994,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_A6,0.170086877,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_A7,0.209403575,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_A8,0.208821429,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_A9,0.203491514,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_B1,0.216735347,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_B10,0.124055639,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_B11,0.208026602,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_B12,0.210942755,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_B2,0.215149214,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_B3,0.143202747,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_B4,0.164839522,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_B5,0.18632569,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_B6,0.169241312,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_B7,0.142203427,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_B8,0.203565078,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_B9,0.136890411,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_C1,0.216462057,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_C10,0.14175366,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_C11,0.124300742,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_C12,0.200703745,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_C2,0.128319706,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_C3,0.130494883,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_C4,0.166903118,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_C5,0.167125838,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_C6,0.119546161,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_C7,0.194360863,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_C8,0.207718901,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_C9,0.213758016,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_D1,0.113678154,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_D10,0.176690466,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_D11,0.215652572,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_D12,0.216920601,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_D2,0.117404347,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_D3,0.160331178,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_D4,0.181170344,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_D5,0.171751184,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_D6,0.170568628,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_D7,0.207445178,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_D8,0.21600989,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_D9,0.214306589,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_E1,0.215491507,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_E10,0.216229004,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_E11,0.215512009,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_E12,0.146502089,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_E2,0.21733511,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_E3,0.140408529,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_E4,0.163460624,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_E5,0.191202595,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_E6,0.192691507,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_E7,0.118303499,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_E8,0.20897311,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_E9,0.213417871,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_F1,0.21806944,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_F10,0.115369427,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_F11,0.113922489,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_F12,0.207791157,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_F2,0.126808972,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_F3,0.124722807,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_F4,0.171061728,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_F5,0.15085545,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_F6,0.117471062,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_F7,0.216243198,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_F8,0.215896744,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_F9,0.125195206,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_G1,0.111147365,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_G10,0.116965274,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_G11,0.208646718,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_G12,0.212010197,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_G2,0.111112788,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_G3,0.13734452,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_G4,0.174883257,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_G5,0.207054548,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_G6,0.171491856,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_G7,0.213650466,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_G8,0.216334501,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_G9,0.14735234,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_H1,0.214111829,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_H10,0.206335509,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_H11,0.138266371,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_H12,0.209739693,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_H2,0.118285804,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_H3,0.193308983,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_H4,0.165734704,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_H5,0.169136794,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_H6,0.17085338,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_H7,0.125982086,Chrom_31_4,T0,T0,male
2428__Chrom_31_4_H8,0.207346085,Chrom_31_4,T0,T0,female
2428__Chrom_31_4_H9,0.123581068,Chrom_31_4,T0,T0,male
2428__Chrom_31_5_A1,0.122028773,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_A10,0.144517193,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_A11,0.126455566,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_A12,0.118113436,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_A2,0.118572882,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_A3,0.220583508,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_A4,0.216740237,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_A5,0.131199013,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_A6,0.215861291,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_A7,0.220774568,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_A8,0.218181253,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_A9,0.22656639,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_B1,0.227465183,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_B10,0.211800533,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_B11,0.126171766,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_B12,0.138431056,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_B2,0.132805941,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_B3,0.215954951,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_B4,0.132369993,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_B5,0.119783608,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_B6,0.119798137,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_B7,0.206335508,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_B8,0.131779851,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_B9,0.127835223,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_C1,0.116834875,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_C10,0.124869704,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_C11,0.210806552,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_C12,0.21779361,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_C2,0.218528931,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_C3,0.130948838,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_C4,0.125703869,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_C5,0.220392502,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_C6,0.150669458,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_C7,0.122395242,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_C8,0.214183961,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_C9,0.13328352,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_D1,0.223885588,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_D10,0.123271586,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_D11,0.206335961,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_D12,0.222478504,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_D2,0.220923479,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_D3,0.227008421,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_D4,0.162559248,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_D5,0.216827906,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_D6,0.222451728,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_D7,0.138305872,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_D8,0.219758516,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_D9,0.139464655,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_E1,0.218631714,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_E10,0.137293735,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_E11,0.129171799,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_E12,0.212796328,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_E2,0.226551527,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_E3,0.225472984,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_E4,0.153061533,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_E5,0.228952749,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_E6,0.22249229,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_E7,0.147311952,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_E8,0.220918223,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_E9,0.129356315,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_F1,0.118210123,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_F10,0.126074591,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_F11,0.175299093,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_F12,0.214134993,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_F2,0.215563243,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_F3,0.14998003,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_F4,0.129947754,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_F5,0.220178258,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_F6,0.220355768,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_F7,0.13897631,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_F8,0.132067089,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_F9,0.122189169,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_G1,0.122196517,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_G10,0.224692647,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_G11,0.220491531,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_G12,0.143683713,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_G2,0.219594357,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_G3,0.13528356,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_G4,0.131172191,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_G5,0.223300384,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_G6,0.230785745,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_G7,0.216181918,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_G8,0.143149879,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_G9,0.219934537,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_H1,0.117975205,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_H10,0.120837352,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_H11,0.214891982,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_H12,0.136206135,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_H2,0.221705805,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_H3,0.188051341,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_H4,0.217032699,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_H5,0.136037589,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_H6,0.121391249,Chrom_31_5,T0,T0,male
2428__Chrom_31_5_H7,0.216855786,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_H8,0.221879501,Chrom_31_5,T0,T0,female
2428__Chrom_31_5_H9,0.124058757,Chrom_31_5,T0,T0,male
2428__Chrom_31_6_A1,0.115149582,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_A10,0.118404458,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_A11,0.201912555,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_A12,0.126877149,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_A2,0.121570018,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_A3,0.166393372,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_A4,0.139048239,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_A5,0.209458227,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_A6,0.216201525,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_A7,0.214990105,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_A8,0.215963621,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_A9,0.138436344,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_B1,0.120063719,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_B10,0.133036568,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_B11,0.208311895,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_B12,0.210150889,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_B2,0.207889972,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_B3,0.133481536,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_B4,0.196259973,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_B5,0.213667789,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_B6,0.139495126,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_B7,0.127572494,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_B8,0.120552645,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_B9,0.207972068,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_C1,0.116975905,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_C10,0.215471799,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_C11,0.142780619,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_C12,0.213200413,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_C2,0.203404901,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_C3,0.21629046,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_C4,0.139172494,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_C5,0.208135528,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_C6,0.215013893,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_C7,0.132470759,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_C8,0.210382967,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_C9,0.216166625,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_D1,0.161329729,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_D10,0.21427799,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_D11,0.214800367,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_D12,0.153514468,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_D2,0.214413378,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_D3,0.216571334,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_D4,0.215693047,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_D5,0.157863295,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_D6,0.136011595,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_D7,0.211964002,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_D8,0.213607255,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_D9,0.215153147,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_E1,0.123169995,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_E10,0.128704145,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_E11,0.210862451,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_E12,0.159669886,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_E2,0.130431854,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_E3,0.209014068,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_E4,0.211648645,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_E5,0.151776947,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_E6,0.214830681,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_E7,0.129216888,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_E8,0.12219141,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_E9,0.204444073,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_F1,0.21718264,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_F10,0.213345915,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_F11,0.214554148,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_F12,0.142218109,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_F2,0.213922642,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_F3,0.140715778,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_F4,0.121144095,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_F5,0.116116182,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_F6,0.115458572,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_F7,0.211709521,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_F8,0.135549623,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_F9,0.209472517,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_G1,0.122899955,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_G10,0.150935102,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_G11,0.213487956,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_G12,0.213819155,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_G2,0.208241675,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_G3,0.129287491,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_G4,0.211285473,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_G5,0.143991858,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_G6,0.212633234,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_G7,0.213888841,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_G8,0.217758547,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_G9,0.215233256,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_H1,0.216358893,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_H10,0.211953852,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_H11,0.132429626,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_H12,0.120508759,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_H2,0.13308538,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_H3,0.213696027,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_H4,0.125274819,Chrom_31_6,T0,T0,male
2428__Chrom_31_6_H5,0.207203338,Chrom_31_6,T0,T0,female
2428__Chrom_31_6_H6,0.217378502,Chrom_31_6,T0,T0,female
